# SNAPLOG logfile.
# simt, id, type, lat, lon, alt, hdg, trk, tas, gs, gsnorth, gseast, cas, M, vs, p, rho, Temp, dtemp, aspd, aptas, ama, apalt, avs
30.0,MS843,B737,-0.94672175,-0.66071280,9144.00000000,87.75644049,87.75644049,192.89687037,192.89687037,7.55142915,192.74900393,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
30.0,MS844,B737,-0.46502061,-0.45909736,9144.00000000,131.12476085,131.12476085,192.89687037,192.89687037,-126.86843427,145.30520632,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
30.0,MS845,B737,-0.26812463,0.01972491,9144.00000000,180.00000000,180.00000000,192.89687037,192.89687037,-192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
30.0,MS846,B737,-0.46473599,0.49849687,9144.00000000,229.07919911,229.07919911,192.89687037,192.89687037,-126.35037801,-145.75590751,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
30.0,MS847,B737,-0.94192235,0.70077384,9144.00000000,277.75047831,277.75047831,192.89687037,192.89687037,26.01391801,-191.13471340,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
30.0,MS848,B737,-1.42748968,0.50338124,9144.00000000,318.67127920,318.67127920,192.89687037,192.89687037,144.85266383,-127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
35.0,MS842,B737,-1.42115757,-0.45790095,9144.00000000,41.32872080,41.32872080,192.89687037,192.89687037,144.85266383,127.38488286,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
35.0,MS841,B737,-1.62052632,0.02009622,9144.00000000,0.00000000,0.00000000,192.89687037,192.89687037,192.89687037,0.00000000,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
35.0,MS843,B737,-0.94638219,-0.65204445,9144.00000000,87.75644049,87.75644049,192.89687037,192.89687037,7.55142915,192.74900393,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
35.0,MS844,B737,-0.47072489,-0.45256297,9144.00000000,130.92074648,130.92074648,192.84542597,192.84542597,-126.31654277,145.71715527,122.02610691,0.63608917,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
35.0,MS845,B737,-0.27680099,0.01968536,9144.00000000,181.83325005,181.83325005,193.46275877,193.46275877,-193.36373750,-6.18902653,122.44225000,0.63812541,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
35.0,MS846,B737,-0.47038485,0.49191899,9144.00000000,231.12179598,231.12179598,192.38242637,192.38242637,-120.75209263,-149.76625155,121.71415325,0.63456200,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
35.0,MS847,B737,-0.94075261,0.69217810,9144.00000000,277.75047831,277.75047831,192.89687037,192.89687037,26.01391801,-191.13471340,122.06077655,0.63625886,0.00000000,30082.83280943,0.45820950,228.71400000,0.00000000,122.07400587,192.89687037,0.00000000,9144.00000000,nan
